passage_id,neighbor_id,rank,similarity
p0100,p0058,3,0.810941
p0100,p0029,4,0.805204
p0100,p0006,5,0.804501
p0101,p0178,1,0.770039
p0101,p0164,2,0.739454
p0101,p0179,3,0.732917
p0101,p0127,4,0.729468
p0101,p0129,5,0.723152
p0102,p0213,1,0.846504
p0102,p0106,2,0.837527
p0102,p0108,3,0.833993
p0102,p0440,4,0.809656
p0102,p0337,5,0.807815
p0103,p0087,1,0.805669
p0103,p0036,2,0.782025
p0103,p0055,3,0.761694
p0103,p0179,4,0.746678
p0103,p0083,5,0.742551
p0104,p0105,1,0.949584
p0104,p0102,2,0.648455
p0104,p1734,3,0.644847
p0104,p0106,4,0.625561
p0104,p1728,5,0.621525
p0105,p0104,1,0.949584
p0105,p0102,2,0.693289
p0105,p0106,3,0.689644
p0105,p0108,4,0.679294
p0105,p1734,5,0.675138
p0106,p0108,1,0.871516
p0106,p0102,2,0.837527
p0106,p0213,3,0.780764
p0106,p0149,4,0.756029
p0106,p0052,5,0.745440
p0107,p0305,1,0.779621
p0107,p0218,2,0.755633
p0107,p0335,3,0.753468
p0107,p0191,4,0.752712
p0107,p0178,5,0.746254
p0108,p0106,1,0.871516
p0108,p0102,2,0.833993
p0108,p0053,3,0.820533
p0108,p0165,4,0.803892
p0108,p0087,5,0.802749
p0109,p0882,1,0.774902
p0109,p0479,2,0.766783
p0109,p0095,3,0.761067
p0109,p0059,4,0.760950
p0109,p0405,5,0.752966
p0110,p0157,1,0.801441
p0110,p0130,2,0.798573
p0110,p0135,3,0.789771
p0110,p0178,4,0.778486
p0110,p0176,5,0.776026
p0111,p0438,1,0.807820
p0111,p0113,2,0.801961
p0111,p0110,3,0.735198
p0111,p0446,4,0.734794
p0111,p0374,5,0.725662
p0112,p0064,1,0.729519
p0112,p0443,2,0.728234
p0112,p0385,3,0.712963
p0112,p0153,4,0.709607
p0112,p0314,5,0.700342
p0113,p0438,1,0.858229
p0113,p0374,2,0.817211
p0113,p0306,3,0.817137
p0113,p0422,4,0.805965
p0113,p0440,5,0.803526
p0114,p0246,1,0.798381
p0114,p0395,2,0.783517
p0114,p0405,3,0.766722
p0114,p0044,4,0.765437
p0114,p0142,5,0.763032
p0115,p1397,1,0.838560
